id,type,uid,content,add_time,ups
6700032034109915355,0,1613200743,话说，家里有点脏，好想去帮你们拖地,57000,0
6699841350446732111,0,540782752,人人人人人人人人人人人人人人人人人人人人人人人人人人人人人谁再说没人,57876,0
6699832786281934842,0,4140631643,这期太短了吧,57371,0
6700012388929445144,0,1278778387,为凡哥而来,58450,1
6699965036914951856,0,2974218615,来了,58379,0
6699846255299388025,0,1596851959,感觉时间越来越短了,58565,0
6699822027388843971,0,635663879,签个到,59857,1
6700159732077695588,0,1470450665,这也太短了吧,60370,0
6700121395199578612,0,310003424,凡凡,60658,0
6700067312971341366,0,1838655901,凡凡,60000,0
6699826468385034520,0,1379657343,看完直播又来咯，吴亦凡,60237,0
6699821155510481440,0,1244622893,很孤单,60653,0
6700224822307118677,0,2944552763,克服磨叽,61000,0
6700028284603454450,0,801322242,凡凡，我来啦,61783,0
6699822731763481666,0,2672349630,有有有,62399,0
6700354839557133319,0,1330089229,小羊生出来啦，什么时候，怎么不拍,63566,1
6700141701804971026,0,1278943500,乔恩好,64004,0
6699850352698190679,0,3380342660,吃才是陈乔恩的本体哈哈哈哈,65086,8
6700362798131537941,0,3261739315,哈哈,65068,0
6700071766852431723,0,1886974835,YOYOYO   宋茜小姐姐！！！,65601,0
6699823590756942206,0,2828046542,啊啊啊啊啊，凡凡，我来啦,67954,1
6700375756047879628,0,850099461,看了前面两季，大华对这档综艺的贡献不可磨,67000,0
6699853827326734695,0,1390143497,麻麻来看宝贝了,67085,0
6699998391630995747,0,4102259605,你们是不是把plus当正常版了,68153,1
6699828963761036879,0,279927357,承包这片空屏 这是朕的江山,68000,0
6699819699516564861,0,3251086673,没人看？,68257,0
6699821228524925588,0,2125228124,宋茜来了,69937,2
6700135499872190486,0,2973106338,这期短太好了,69058,1
6700004275736198176,0,2562516706,我又来看吴亦凡了,70451,4
6699825536377130033,0,230118158,有呀，来看宋茜劈柴逗狗,72206,4
6699995771700942927,0,4011362737,来看小凡了,72547,3
6700026772774961358,0,1171368004,凡凡 我来了,72000,2
6699821937194530617,0,254921852,在看哦,72000,0
6699853896046211465,0,1390143497,吃面吃面,73898,1
6699822688813808642,0,2173113882,在看我家茜茜,73000,1
6700132364546061709,0,4150755142,哥哥我又来啦,73021,0
6699827602256402162,0,556718971,有人,73880,0
6699832163511676183,0,2731809208,宋茜宋茜,74000,1
6699963426302215061,0,3841453788,凡凡,74000,0
6699851581058837922,0,1044229558,这一期节目我可以了重复看几遍……,74000,0
6700087082705822734,0,3111657745,嘉宾好好,75568,1
6700368342934320910,0,2250594548,来看大凡凡。,75959,0
6699876453214455887,0,1839232238,这期女孩子们都很高诶，和何老师都差不多高,75000,1
6700143067604572337,0,2290928406,都大咖,75831,0
6700037059221664885,0,159096688,来啦,75000,0
6699828392530385725,0,266635310,宋茜,75000,0
6699851739972627940,0,1044229558,哦，错了，字体没有上色,76000,0
6699844365513776498,0,2848265309,一点半的我,76702,0
6699821924309628701,0,1687106602,认真看呢,76764,0
6699822237842241829,0,1648872594,来看凡凡,77842,2
6699842213735159352,0,3532572041,这是plus版哦，不要看错啦,77890,0
6699841217302745817,0,1008593728,来看我宋茜老公,79007,3
6700370816835485226,0,703946075,我又来看凡凡啦，哈哈,79465,1
6699818724558987155,0,10836924,吴亦凡,79745,2
6699868941316653934,0,2013091149,看宋茜,79000,0
6699820446840876067,0,782486131,马上跑来看plus版,81012,15
6700040778663350972,0,636098281,乔恩太可爱了,81075,8
6699995964974471425,0,4011362737,凡凡,81657,0
6699837772738971143,0,2279033848,来了,81926,0
6700391552937612003,0,2322593314,来看我凡可爱了,82000,0
6700028422042408371,0,801322242,啊啊啊啊啊啊啊啊啊啊啊啊，凡凡,82157,0
6699998464645439836,0,2408097730,陈乔恩好老啊,85934,1
6699828890746592771,0,1375029521,这个可以多看一点点吧,85006,1
6700047032135745376,0,3769696726,重复好多,85903,0
6699867798855352958,0,1368103210,王丽坤是我的,86850,4
6699825003801184535,0,492499723,看完电视有赶紧来看plus版,86241,1
6699972011941844171,0,2070251690,好看,86987,0
6699936926353990080,0,262754719,宋茜,86402,0
6699853436484710607,0,2043413699,快乐,86000,0
6699845636824096961,0,681413620,一个版本一个版本接着刷,86000,0
6700385539983390416,0,2468695801,只有我以为宋茜还是二十几岁吗,87950,0
6700072814824452922,0,2006339817,因为没有中饭可以吃，所有明星才会觉得黄老师做的饭菜特别好吃，特别香,87009,0
6699984767994721700,0,683559428,冲鸭,87696,0
6700015781953618753,0,389416598,i了,88113,0
6699937287131243028,0,3539715746,来咯,88327,0
6699820330876758771,0,597397960,第一,88000,0
6699818788983496671,0,10836924,没人？？？,88207,0
6700347812990632782,0,3038335997,球恩，你有点女演员的亚子!,89933,0
6700047105150189516,0,3769696726,多看一点,89681,0
6699828925106331183,0,1375029521,凡凡,89880,0
6700097631145510262,0,2743226331,宋茜好可爱,90916,0
6700078153468806738,0,3852285417,看完完整版过来,91083,0
6699836909450543721,0,419957742,来啦,91000,0
6699823483382759636,0,4201660621,我的神,91931,0
6699823719605961264,0,2828046542,凡凡，凡凡凡凡凡凡凡凡凡,92926,2
6700015253672639914,0,3300188042,哦哦哦,92000,0
6699831270158477561,0,2467193625,没人吗？？,92765,0
6700183393052554023,0,155170932,看吴亦凡来啦,93000,0
6699991395129264742,0,2404857718,吴亦凡就是个大可爱  太可了哈哈,95278,2
6699823577872040301,0,4201660621,天神凡真的好可爱,95087,1
6700204593011145257,0,2846025036,就想看凡凡,95864,0
6699954866432390495,0,2278999588,看完正片马上接上,96210,5
6700398034043269572,0,3741892669,雨一直下,97102,0
6700071904291385341,0,1886974835,宋茜呀,97247,0
6700025398385422026,0,1296271732,来了,97168,0
6699819824070616696,0,3251086673,是我来得太早了吗？,97257,0
6699982139474734648,0,3009836083,本人不喜欢陈乔恩   ,98016,7
6699850142244793068,0,377312462,看完，再看这个+1,98107,4
6700008016652724997,0,1682808119,吴亦凡太可爱了吧,98766,1
6699819862725322433,0,3146585161,没有人？,98333,0
6699826781917647519,0,1353225239,我们宋茜阳光体质，开玩笑的,99000,2
6700009111869388844,0,3902171502,好喜欢宋茜,100841,1
6699854054960001486,0,1390143497,去康康苏苏,100515,0
6699937759577645685,0,953069611,陈乔恩！！！,101000,4
6700025767752610726,0,2119777897,小不点颜值真的很高,103140,24
